id	marque	designation	annee	km	prix
688	renault	Grand espace 12/2005 Alyum + 80000 km diesel 1.9dc	2005	80000	13000
689	renault	Laguna Coupé GT 180 dCi Cuir GPS PROMO 25990 \u0080	2009	12424	25990
690	mini	Tiguan carat 2.0 tdi 170 ch	2008	65000	26900
691	opel	Opel zafira 2.2 dti elegance 125 cv	2003	124000	7500
692	opel	Opel omega 2.5l v6	1998	180000	1500
693	seat	Seat ibiza cupra 1.9tdi 160ch	2007	58000	12500
694	peugeot	307 xs 2.0 hdi 90 cv 3p	2002	79000	7800
695	audi	VW Scirocco 2.0 TSI DSG Blanc	2008	9000	25000
696	honda	Honda Civic 2.2 icdti FAP Sport 140ch	2008	13500	16750
697	renault	Renault Espace 2&virgule;2 dci 150cv privilège	2006	118006	10550
698	renault	Xsara picasso hdi	2000	192000	4000
699	renault	Renault laguna ii 2.0 dci 150	1997	99500	10750
700	audi	A3 2.0 TDI 140cv S-Line &virgule; 12/07 25000km Ref:O15	2007	25000	21290
701	opel	Opel vectra 2&virgule;2 dti Elegance	2001	130000	3800
702	land rover	VOLVO C70 CC 2.0d 136 ch premium edition	2009	2500	28990
703	audi	Audi a4 avant 1.9 tdi 130 cv pack plus	2004	106000	14000
704	audi	Audi A3 Cabriolet 2.0 TDI Ambition 140cv Ref:O13	2009	11450	26090
705	mini	Golf 6 cofort 2.0tdi 110 cv 01/2009 pdc av+ar+clim	2009	19757	18990
706	ford	Ford Kuga 4x4 Titanium 2.0 TDCI 136&virgule; 04/09 Ref:O8	2009	21950	25890
707	ford	Ford Kuga Titanium 4x4 2.0 tdci 136 cv Ref:O9	2009	20715	25390
708	renault	Scénic II 1.9L dCi 130cv Luxe Dynamique	2005	66000	14200
709	audi	Audi A3 S-Line 2.0 TDI 170&virgule; 06/07 58200km Ref:O11	2007	58200	21990
710	audi	Audi A3 Ambition Luxe 2.0 TDI 140cv Ref:O10	2008	30500	24190
711	audi	AUDI A3 - TDI 2.0 AMBITION 140CV. Décembre 2003	2003	87000	13500
712	mercedes	Mercedes Classe A AvantGarde 180CDI	2005	110000	11990
713	audi	AUDI A3 - TDI 2.0 AMBITION 140CV. Décembre 2003	2003	87000	13500
714	mercedes	Mercedes Classe A AvantGarde 180CDI	2005	110000	11990
715	opel	Zafira 2.2DTI125 Disney Elégance &virgule;06/05&virgule;129000km	2005	129000	7850
716	audi	Touran 1.9 tdi 105 cv	2003	142000	12900
717	audi	Audi A3 Cabriolet 1.9 TDI DPF / Cuir et G.P.S	2009	11300	28500
718	renault	Megane CC DCI luxe	2004	125000	10800
719	citroen	Citroen picasso 2.0l hdi 90 cv	2002	143000	5500
